team_name,team_id,gameday,points,league_member_name,display_name
Kinkartvyavimudh,255290408,1,1464.0,Abhishek,Abhishek
NSKNEMESIS,108160402,1,1014.0,,NSKNEMESIS
RKDEleven,318100410,1,571.5,Rohit,Rohit
Sidhsdevilseye,243650709,1,566.0,Sidhu,Sidhu
Scarlet Challengers,243890103,1,504.0,Kunj,Kunj
Team Joshi,240920202,1,471.0,Saurabh,Saurabh
Sunny super kings,243670206,1,447.5,Harpreet,Harpreet
SanjuPaglu,230850202,1,442.5,Bijil,Bijil
Ravs XI,136580310,1,414.5,Ravtaj,Ravtaj
Ashray Team,152250802,1,324.5,Ashray,Ashray
aksesa11,242840109,1,230.0,Akshay,Akshay
Bens XI,143920506,1,221.5,Ben,Ben
BlAcKKaTs,117061010,1,220.5,Yash,Yash
T20 Warriors XI,248520808,1,151.0,Atharva,Atharva
LazyBoys,623050307,2,1120.0,Rajesh,Rajesh
Sunny super kings,243670206,2,579.5,Harpreet,Harpreet
Ravs XI,136580310,2,558.5,Ravtaj,Ravtaj
NSKNEMESIS,108160402,2,508.0,,NSKNEMESIS
Team Joshi,240920202,2,494.0,Saurabh,Saurabh
BlAcKKaTs,117061010,2,441.0,Yash,Yash
aksesa11,242840109,2,439.0,Akshay,Akshay
T20 Warriors XI,248520808,2,424.0,Atharva,Atharva
SanjuPaglu,230850202,2,341.5,Bijil,Bijil
Sidhsdevilseye,243650709,2,339.0,Sidhu,Sidhu
Scarlet Challengers,243890103,2,253.5,Kunj,Kunj
Kinkartvyavimudh,255290408,2,212.0,Abhishek,Abhishek
Bens XI,143920506,2,145.5,Ben,Ben
Ashray Team,152250802,2,54.0,Ashray,Ashray
RKDEleven,318100410,2,0.0,Rohit,Rohit
Sunny super kings,243670206,3,701.0,Harpreet,Harpreet
T20 Warriors XI,248520808,3,224.5,Atharva,Atharva
aksesa11,242840109,3,157.0,Akshay,Akshay
BlAcKKaTs,117061010,3,147.0,Yash,Yash
SanjuPaglu,230850202,3,126.0,Bijil,Bijil
NSKNEMESIS,108160402,3,121.5,,NSKNEMESIS
Bens XI,143920506,3,110.5,Ben,Ben
Team Joshi,240920202,3,72.0,Saurabh,Saurabh
Scarlet Challengers,243890103,3,68.0,Kunj,Kunj
Sidhsdevilseye,243650709,3,50.5,Sidhu,Sidhu
Ravs XI,136580310,3,29.0,Ravtaj,Ravtaj
Ashray Team,152250802,3,0.0,Ashray,Ashray
Kinkartvyavimudh,255290408,3,0.0,Abhishek,Abhishek
LazyBoys,623050307,3,0.0,Rajesh,Rajesh
RKDEleven,318100410,3,0.0,Rohit,Rohit
Sunny super kings,243670206,4,718.0,Harpreet,Harpreet
